binary_cat,numeric,pointbiserial_r,p_value
bruises,Unnamed: 0,-0.04662696929620534,0.03706459412326649
bruises,stalk_height,0.06464379264824122,0.0038258330190591118
bruises,cap_diameter,-0.04694592789775226,0.03578776363866892
gill_size,Unnamed: 0,-0.022992191177037595,0.3040744688281058
gill_size,stalk_height,-0.0032728806458229044,0.8837030709938531
gill_size,cap_diameter,-0.06874266108818347,0.0020981023109622014
stalk_shape,Unnamed: 0,-0.022255360898366102,0.3198379415841537
stalk_shape,stalk_height,0.03686184146815132,0.09934423077893749
stalk_shape,cap_diameter,-0.004821863248688794,0.829372274272188
veil_type,Unnamed: 0,0.01965777302292238,0.37958694193917986
veil_type,stalk_height,-0.05531447535398874,0.013357743859066849
veil_type,cap_diameter,-0.058645498599157915,0.008707623632488127
class,Unnamed: 0,0.0059018046371108615,0.791954057679881
class,stalk_height,-0.013655032959135432,0.5416509689689339
class,cap_diameter,-0.01970740361834876,0.378384706994563
