cat_a,cat_b,cramers_v
gill_color,stalk_shape,0.1557738798511531
gill_color,stalk_surface_above_ring,0.14183592040036688
bruises,gill_color,0.12598191963424832
gill_size,stalk_color_above_ring,0.12447453073944818
cap_surface,ring_type,0.12264736047411774
cap_surface,gill_color,0.12176440624301009
gill_color,ring_number,0.11784962363242821
cap_color,class,0.11720472570224709
gill_size,gill_color,0.11636800165747871
cap_surface,spore_print_color,0.11613169758680579
cap_color,gill_color,0.11569603109834083
stalk_surface_below_ring,stalk_color_above_ring,0.11284308360724919
cap_shape,gill_color,0.11232105673222918
bruises,stalk_color_above_ring,0.11071551200898487
cap_color,stalk_root,0.10918314973404139
gill_color,stalk_root,0.10874978659407562
gill_color,habitat,0.10769072953874403
bruises,habitat,0.10760287193970598
stalk_shape,population,0.10755413277526163
odor,stalk_surface_above_ring,0.10645338120215544
gill_size,stalk_root,0.10642162506792667
gill_color,stalk_color_below_ring,0.10540238960807068
cap_color,habitat,0.10534444384167894
gill_color,population,0.10478120430105849
cap_color,gill_size,0.10396651959692597
stalk_root,stalk_color_below_ring,0.10310571375594792
gill_color,veil_color,0.10306445267544573
odor,gill_color,0.10273067900827654
ring_type,population,0.10257776906314556
stalk_surface_above_ring,stalk_color_below_ring,0.10094043032975675
