,alt.atheism,comp.graphics,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,comp.sys.mac.hardware,comp.windows.x,misc.forsale,rec.autos,rec.motorcycles,rec.sport.baseball,rec.sport.hockey,sci.crypt,sci.electronics,sci.med,sci.space,soc.religion.christian,talk.politics.guns,talk.politics.mideast,talk.politics.misc,talk.religion.misc
alt.atheism,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
comp.graphics,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comp.os.ms-windows.misc,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comp.sys.ibm.pc.hardware,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comp.sys.mac.hardware,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comp.windows.x,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
misc.forsale,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
rec.autos,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
rec.motorcycles,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
rec.sport.baseball,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
rec.sport.hockey,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
sci.crypt,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
sci.electronics,0,0,0,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,0,0
sci.med,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
sci.space,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
soc.religion.christian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
talk.politics.guns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
talk.politics.mideast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
talk.politics.misc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17,1
talk.religion.misc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
