,-1,0,1,2
Balance,0.9012186401160628,-0.22297751037752486,-0.1751651944181434,-0.45878544893498246
Qual_miles,0.7917475129036562,-0.18478283414926952,-0.1811265353975304,-0.1862986868645555
cc1_miles,0.42557084411480184,-0.307267457821168,0.378405008925516,-0.7695784055349739
cc2_miles,0.33354193645435054,-0.0982418870817467,-0.0982418870817467,6.675366844640779
cc3_miles,0.27057147167152923,-0.062766579842471,-0.062766579842471,-0.062766579842471
Bonus_miles,0.7845881405754523,-0.3520859259067314,0.20339905828354274,-0.3596887904265461
Bonus_trans,0.923798380366488,-0.35210381793747486,0.0942599800440918,0.010215923602554437
Flight_miles_12mo,1.0245225859641167,-0.26238688935305826,-0.18099403291535585,-0.3286032583559569
Flight_trans_12,1.0832600402752086,-0.27867017923545145,-0.1884251406255744,-0.3621678699528822
Days_since_enroll,0.24398644490699,-0.15753312510519688,0.1763343475233572,-0.5808867967328858
Award?,0.5723872644170229,-0.7669192985474492,1.303918159177905,-0.7669192985474492
