,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,Award?
Balance,1.0,0.1087218192061195,0.3383437842413785,-0.008803607898265321,0.03524337591854539,0.40348658495497614,0.32493471616324177,0.217550678474566,0.25569999610148664,0.2631294350920244,0.17849377332634803
Qual_miles,0.1087218192061195,1.0,0.007931218430675893,-0.013923074599256503,-0.007778781040627945,0.031021309508501134,0.05072475350562791,0.12677423031913684,0.14400428854362138,0.01731239739386934,0.09525626511406207
cc1_miles,0.3383437842413785,0.007931218430675893,1.0,-0.06822297547209591,0.060555125067174746,0.8252001562475577,0.6089430489141902,0.037370403828909014,0.04133325301550259,0.23084911874998496,0.33545661427790296
cc2_miles,-0.008803607898265321,-0.013923074599256503,-0.06822297547209591,1.0,-0.00616630724939145,-0.003968804488780779,0.06439899677354904,0.010597967452110531,0.028283996137879405,-0.005807294457195146,0.005332065229730342
cc3_miles,0.03524337591854539,-0.007778781040627945,0.060555125067174746,-0.00616630724939145,1.0,0.20413443956478297,0.09731336877861053,-0.0017774883556728762,-0.001116598421550578,0.010832336068701933,0.023484392187227216
Bonus_miles,0.40348658495497614,0.031021309508501134,0.8252001562475577,-0.003968804488780779,0.20413443956478297,1.0,0.603180478501048,0.18353630630531775,0.1852608346859094,0.21039689036362527,0.37350613985812975
Bonus_trans,0.32493471616324177,0.05072475350562791,0.6089430489141902,0.06439899677354904,0.09731336877861053,0.603180478501048,1.0,0.37721552870751285,0.43236446385617994,0.16126221113155684,0.3338929179915469
Flight_miles_12mo,0.217550678474566,0.12677423031913684,0.037370403828909014,0.010597967452110531,-0.0017774883556728762,0.18353630630531775,0.37721552870751285,1.0,0.8691926811569328,0.03727100935433301,0.2177150067709749
Flight_trans_12,0.25569999610148664,0.14400428854362138,0.04133325301550259,0.028283996137879405,-0.001116598421550578,0.1852608346859094,0.43236446385617994,0.8691926811569328,1.0,0.059259899664648674,0.24790905007780117
Days_since_enroll,0.2631294350920244,0.01731239739386934,0.23084911874998496,-0.005807294457195146,0.010832336068701933,0.21039689036362527,0.16126221113155684,0.03727100935433301,0.059259899664648674,1.0,0.18812105855118427
Award?,0.17849377332634803,0.09525626511406207,0.33545661427790296,0.005332065229730342,0.023484392187227216,0.37350613985812975,0.3338929179915469,0.2177150067709749,0.24790905007780117,0.18812105855118427,1.0
